monnaie,nombreAnnees,prec
-6.7E+4,10,2
-6.0E+62,50,2
-1.6E+80,60,2
-4.9E+107,75,2
0.097446400,10,10
-1.396144456E+55,50,10
-3.819709486E+72,60,10
-1.138851787E+100,75,10
0.0991121833502195200,10,20
1.2078205475558352999E+45,50,20
3.3044743908886862667E+62,60,20
9.8523371518836971160E+89,75,20
0.0991121833500754111760445416718614982536185600000,10,50
1229490722328912.4010316273930405196741198420639744,50,50
336376178894514707816713067510906.20923373218692141,60,50
1.0029103368054340956832959122451367854545596832756E+60,75,50
0.099112183350075411176044541671861498253618413305640132127485129276226953511180631649432123930297600,10,100
0.019992165836667903219891152066054769364655840492696650225231297366847604012802191130624000000000000,50,100
0.016662116580133035860309810559786599951265214870668564379642251319739094663020360499200000000000000,60,100
-10605073909.56686665126354544321618679534440926988749364314087314489642930884253192453042995200000000,75,100
