monnaie,nombreAnnees,prec
1,1,1
1,2,1
4E+1,5,1
7E+5,10,1
2E+11,15,1
4E+17,20,1
3E+31,30,1
8E+46,40,1
2E+63,50,1
6E+80,60,1
8E+107,75,1
0.7,1,2
0.4,2,2
-2.0,5,2
-6.7E+4,10,2
-2.6E+10,15,2
-5.0E+16,20,2
-5.1E+30,30,2
-1.6E+46,40,2
-6.0E+62,50,2
-1.6E+80,60,2
-4.9E+107,75,2
0.72,1,3
0.44,2,3
0.40,5,3
6.24E+3,10,3
2.25E+9,15,3
4.18E+15,20,3
4.59E+29,30,3
1.40E+45,40,3
5.25E+61,50,3
1.44E+79,60,3
4.34E+106,75,3
0.718,1,4
0.436,2,4
0.160,5,4
-1023,10,4
-3.686E+8,15,4
-6.860E+14,20,4
-7.485E+28,30,4
-2.302E+44,40,4
-8.585E+60,50,4
-2.351E+78,60,4
-7.004E+105,75,4
0.7183,1,5
0.4366,2,5
0.1960,5,5
66.040,10,5
2.3763E+7,15,5
4.4210E+13,20,5
4.8204E+27,30,5
1.4827E+43,40,5
5.5270E+59,50,5
1.5122E+77,60,5
4.5085E+104,75,5
0.7182818,1,8
0.4365636,2,8
0.1938160,5,8
-0.0041600,10,8
-37215.097,15,8
-6.9238064E+10,20,8
-7.5488424E+24,30,8
-2.3220168E+40,40,8
-8.6555590E+56,50,8
-2.3680732E+74,60,8
-7.0604436E+101,75,8
0.718281828,1,10
0.436563656,2,10
0.193819360,5,10
0.097446400,10,10
-600.2152960,15,10
-1116812075,20,10
-1.217630614E+23,30,10
-3.745420230E+38,40,10
-1.396144456E+55,50,10
-3.819709486E+72,60,10
-1.138851787E+100,75,10
0.7182818284590452354,1,20
0.4365636569180904708,2,20
0.1938194150854282480,5,20
0.0991121833502195200,10,20
0.0663920851062272000,15,20
0.1464984335810560000,20,20
10533861794079.869189,30,20
3.2402059059782631220E+28,40,20
1.2078205475558352999E+45,50,20
3.3044743908886862667E+62,60,20
9.8523371518836971160E+89,75,20
0.7182818284590452353602874713526624977572470937000,1,50
0.4365636569180904707205749427053249955144941874000,2,50
0.1938194150854282432344965623194997308696512440000,5,50
0.0991121833500754111760445416718614982536185600000,10,50
0.0663920331751713994110368720095106739842816000000,15,50
0.0498817428851762458796362544187342762311680000000,20,50
0.0332976012980032032504005454417766645760000000000,30,50
0.0579681852974841389774509298484772864000000000000,40,50
1229490722328912.4010316273930405196741198420639744,50,50
336376178894514707816713067510906.20923373218692141,60,50
1.0029103368054340956832959122451367854545596832756E+60,75,50
0.718281828459045235360287471352662497757247093699959574966967627724076630353547594571382178525166427,1,100
0.436563656918090470720574942705324995514494187399919149933935255448153260707095189142764357050332854,2,100
0.193819415085428243234496562319499730869651243995148996036115326889195642425711348565861423019971240,5,100
0.099112183350075411176044541671861498253618413305640132127485129276226953511180631649432123930297600,10,100
0.066392033175171399411036872009510673931418820478013460541185981144967289052421189360179522043136000,15,100
0.049881742885176245879636254418635926087122934483067665694200588741936248574380826797170813665280000,20,100
0.033297601298003192527544925602740549595158009832138867797387522478820637038487647056911400960000000,30,100
0.024984783020570491206509115614043766999259778459854592550369895877715162279001688736006144000000000,40,100
0.019992165836667903219891152066054769364655840492696650225231297366847604012802191130624000000000000,50,100
0.016662116580133035860309810559786599951265214870668564379642251319739094663020360499200000000000000,60,100
-10605073909.56686665126354544321618679534440926988749364314087314489642930884253192453042995200000000,75,100
